-No-  Hi  Lo  Artist's Name
 312   2   0  Dixon, Willie
 313   0   1  DMX
 314   3   0  Domino, Fats
 315   1   0  Donnas, The
 316   1   0  Donovan
 317   2   1  Doobie Brothers, The
 318  18   1  Doors, the
 319   1   1  Dr Dre
 320   2   0  DragonForce
 321   1   1  Drake
 322   3   0  Dream Theater
 323   2   0  Drifters, The
 324   6   0  Drive-By Truckers
 325   1   0  Dropkick Murphys
 326   1   0  Duffy
 327   4  10  Duran Duran
 328  36   0  Dylan, Bob
 329   5   5  Eagles
 330   2   0  Earle, Steve
 331   8   0  Earth, Wind and Fire
 332   1   0  Eazy-E
 333   1   0  Edelman, Randy
 334  13   0  Electric Light Orchestra
 335   1   0  Ellington, Duke
 336   2   0  Emerson, Lake & Palmer
 337   1   0  Emery
 338   2   3  Eminem
 339   0   1  Encore
 340   4   3  Enigma
 341   2   0  Eno, Brian
 342   4   0  Enya
 343   1   0  Erasure
 344   1   0  Erskine, Rantala Danielsson
 345   0   1  Etheridge, Melissa
 346   3   0  Eurythmics
 347   0   6  Evanescence
 348   1   0  Evans, Bill
 349   1   0  Evans, Sara
 350   1   1  Everclear
 351   0   2  Everlast
 352   4   0  Everyly Brothers
 353   1   0  Fagen, Donald
 354   0   1  Fall, the
 355   2   1  Fastball
 356   1   0  Fates Warning
 357   2   0  Ferdinand, Franz
 358   0   1  Fergie
 359   1   0  Ferguson, Rebecca
 360   1   0  Fiasco, Lupe
 361   1   0  Filter
 362   1   0  Fine Young Cannibals
 363   1   1  Fiona Apple
 364   0   2  Five for Fighting
 365   2   0  Fixx, the
 366   1   0  FKA Twigs
 367   1   0  Flack, Roberta
 368   4   0  Flaming Lips, the
 369   5   0  Flatt & Scruggs
 370   5   0  Fleck, Bela
 371   9   0  Fleetwood Mac
 372   1   0  Flobots
 373   4   0  Flogging Molly
 374   2   0  Florence + the Machine
 375   1   0  Foals
 376   1   0  Foghat
 377   3   1  Foo Fighters
 378   1   5  Ford, Colt
 379   1   0  Ford, Tennessee Ernie
 380   8   2  Foreigner
 381   0   1  Fountains of Wayne
 382   3   0  Four Seasons, the
 383   1   0  Four Tops
 384   0   2  FourPlay
 385   7   0  Frampton, Peter
 386   2   0  Francis, Connie
 387   5   0  Franklin, Aretha
 388   1   1  Franz Ferdinand
 389   1   0  Fray, the
 390   1   0  Frehley, Ace
 391   0   1  Frey, Glenn
 392   0   1  Fugazi
 393   1   0  Funkadelic
 394   1   0  Furtado, Nelly
 395   1   0  Fury, Billy
 396   0   1  Future
 397   0   1  G-Unit
 398   0   1  G3
 399   0   1  Gabbards, The
 400   5   7  Gabriel, Peter
 401   2   0  Gaither, Bill & Gloria
 402   1   0  Garbage
 403   1   0  Garcia, Jerry & David Grisman
 404   4   0  Gaye, Marvin
 405   1   0  Gaynor, Gloria
 406   5  20  Genesis
 407   1   0  Gentry, Bobbie
 408   2   0  Gerry & the Pacemakers
 409   1   0  Gesaffelstein
 410   2   0  Gilbert & Sullivan
 411   2   0  Gilbert, Brantley
 412   0   1  Gillespie, Dizzy
 413   2   0  Gilmour, David
 414   1   0  Gin Blosssoms
 415   0   7  Ginuwine
 416   2   0  Glass, Philip
 417   0   1  Global Journey
 418   1   0  Gnarls Barkley
 419   2   0  Godsmack
 420   1   0  Golden Earring
 421   2   0  Goldfrapp
 422   1   0  Gomez
 423   1   0  Gomez, Selena
 424   3   3  Goo goo dolls
 425   8   0  Gorillaz
 426   1   0  Gotti, Yo
 427   1   0  Grand Funk Railroad
 428   1   0  Grass Roots, the
 429  19   4  Grateful Dead
 430   1   1  Gray, David
 431   1   0  Great White
 432   2   0  Greek Music
 433   2   5  Green Day
 434   2   0  Green, Al
 435   2   0  Groban, Josh
 436   1   0  Grouplove
 437   0   0  Guardians of the Galaxy  Disc 1  (flac)
 438   0   0  Guardians of the Galazy  Disc 2  (flac)
 439   2   0  Guess Who, the
 440   1   0  Guetta, David
 441   3   0  Guns N' Roses
 442   0   2  Guru
 443   1   0  Guthrie, Arlo
 444   1   0  Guthrie, Woody
 445   5   1  Guy, Buddy
 446   0   3  Gyptian
 447   1   0  Haggard, Merle
 448   1   0  Haim
 449   0   1  Haley, Bill & the Comets
 450   6   0  Hall & Oates
 451   1   0  Halpern, Steven
 452   1   5  Hamilton, Anthony
 453   0   1  Hancock, Herbie
 454   6   1  Harper, Ben
 455   1   0  Harrison, George
 456   2   0  Harvey, PJ
 457   1   0  Hatchet, Molly
 458   2   0  Hawkwind
 459   1   0  Haynes, Warren
 460   0   1  Headley, Heather
 461   1   0  Healey, Jeff
 462   1   0  Heap, Imogen
 463   0   2  Heart
 464   1   0  Heaven & Hell
 465   1   0  Helmet
 466  27   0  Hendrix, Jimi
 467   1   0  Herman's Hermits
 468   1   0  Hiatt, John
 469   1   0  Hibbert, Toots
 470   0   1  Highway Band, the
 471   2   0  Hill, Lauryn
 472   1   0  Ho, Don
 473   1   0  Hole
 474   2   1  Holiday, Billie
 475   2   0  Hollies, the
 476   5   0  Holly, Buddy
 477   0   2  Holy Ghost
 478   0   1  Homunculus
 479   4   1  Hooker, John Lee
 480   1   0  Hootie & The Blowfish
 481   0   2  Hornsby, Bruce & The Range
 482   1   0  Hospitality
 483   0   2  Hothouse Flowers
 484   1   0  Howlin' Wolf
 485   3   0  Humble Pie
 486   1   0  Hunt, Sam {whr}
 487   1   0  Hüsker Dü
 488   1   1  Ice-T
 489   1   0  Iced Earth
 490   0   2  Idol, Billy
 491   0   1  Iglesias, Enrique
 492   0   1  Imbruglia, Natalie
 493   1   0  Impressions, the
 494   0   1  Indigo Girls
 495   0   1  Insane Clown Posse
 496   2   1  INXS
 497   0   1  IQ Dark Matter
 498   3   0  Iron & Wine
 499   1   0  Iron Butterfly
 500  13   0  Iron Maiden
 501   0   1  Isaacs, Gregory
 502   1   0  Isaacs, the
 503   1   0  Isbell, Jason
 504   2   0  Isley Brothers, the
 505   2   0  Jackson, Janet
 506  21   1  Jackson, Michael
 507   1   4  Jaheim
 508   1   0  Jamal, Ahmad
 509   2   0  James, Etta
 510   2   0  James, Rick
 511   2   4  Jamiroquai
 512   1   2  Jane's Addiction
 513   0   1  Jason Bonham Band
 514   1   4  Jay-Z
 515   1   0  Jean, Wyclef
 516   9   0  Jefferson Airplane
 517   1   0  Jefferson Starship
 518   0   1  Jennings, Lyfe
 519   1   0  Jennings, Shooter
 520   2   0  Jennings, Waylon
 521   1   0  Jepsen, Carly Rae
