-No-  Hi  Lo  Artist's Name
 909   2   1  Silverchair
 910  11   0  Simon and Garfunkel
 911   2   0  Simon, Carly
 912   9   2  Simon, Paul
 913  11   0  Simone, Nina
 914   2   0  Simple Minds
 915   1   0  Simply Red
 916   1   0  Simpson, Martin
 917   1   0  Siouxsie And The Banshees {whr}
 918   3   1  Sister Hazel
 919   1   2  Sister Sledge
 920   1   0  Skaggs, Ricky & Kentucky Thunder
 921   2   0  Skrillex
 922   6   0  Slash
 923   1   1  Slayer
 924   1   0  Sledge, Percy
 925   1   0  Slipnot
 926   9   0  Sly And The Family Stone
 927   2   0  Smash Mouth
 928   6   3  Smashing pumpkins
 929   5   0  Smith, Patti
 930   1   0  Smiths, the
 931   0   2  Snoop Doggy Dogg
 932   3   0  Snow Patrol
 933   1   0  Soul Coughing
 934   3   1  Soundgarden
 935   0   1  Soup Dragons, the
 936   5   0  Sousa, John Philips
 937   2   0  Spalding, Esperanza
 938   3   0  Spears, Britney
 939   4   0  Spector, Phil
 940   4   0  Spektor, Regina
 941   1   0  Spin Doctors
 942   3   0  Spoon
 943   1   0  Springfield, Buffalo
 944   1   0  Springfield, Dusty
 945   9   4  Springsteen, Bruce
 946   1   0  Squeeze
 947   3   0  St Marie, Buffy
 948   2   0  Stabbing Westward
 949   2   0  Staind
 950   1   0  Standells, the
 951   5   0  Stanley Brothers, the
 952   3   0  Staples, Mavis
 953  30   0  Stax
 954   1   0  Steeldrivers, the
 955   6   0  Steely Dan
 956   2   0  Stefani, Gwen
 957   1   0  Steffenwolf
 958   1   0  Stereolab
 959   6   0  Steve Miller Band, the
 960   3   0  Stevens, Cat
 961   4   0  Stevie Wonder
 962   1   0  Stewart, Al
 963   5   1  Stewart, Rod
 964   4   0  Stiff Records
 965   4   0  Sting
 966   2   0  Stirling, Lindsey
 967   1   0  Stone Roses, The 
 968   1   3  Stone Temple Pilots
 969   4   0  Stooges, The
 970   0   1  Streetlight Manifesto
 971   0   2  Strokes, the
 972   5   3  Styx
 973   0   1  Subdudes, the
 974   2   7  Sublime
 975   1   0  Sublime with Rome
 976   2   2  Sugar Ray
 977   2   0  Summer, Donna
 978   2   0  Sun Ra
 979   3   0  Sun Records
 980   1   0  Superchick
 981   2   0  Supertramp
 982   1   0  Sweet Honey in the Rock
 983   1   0  Sweet, Matthew
 984   1   0  Swift, Taylor
 985   0   1  Swingfield Big Band, The
 986   6   0  Switchfoot
 987   2   3  System of a down
 988  10  28  Soundtracks Various Artists
 989   1   0  T. Rex
 990   0   1  T.I
 991   3  10  Talking Heads
 992   2   0  Tamia
 993   1   0  Tank Girl
 994   1   0  Tankian, Serj
 995   7  12  Taylor, James
 996   0   1  Taylor, Paul
 997   2   0  Tears For Fears
 998   1   0  Temple Of The Dog
 999   8   0  Temptations, The
1000   0   1  Tender Love
1001   5   2  Tesla
1002   5   1  Tharpe, Sister Rosetta
1003   0   4  They Might Be Giants
1004   1   2  Thin Lizzy
1005   2   2  Third eye blind
1006   0   2  Thomas, Carl
1007   1   0  Thompson Square
1008   1   0  Thompson Twins
1009   6   0  Thompson, Richard
1010   1   0  Thompson, Richard & Linda
1011   1   0  Thorogood, George  & The Destroyers
1012   2   0  Three Days Grace
1013   1   1  Three Dog Night
1014   1   0  Thundercat
1015   2   0  Tisdale, Ashley
1016   1   0  TLC
1017   5   4  Tomita, Isao
1018   5   1  Tool
1019   0   2  Toots and the Maytals
1020   1   0  Tosh, Peter
1021   2   0  Tower of Power
1022   0   1  Townsend, Pete
1023   5   1  Traffic
1024   0   3  Tragically Hip
1025   1   2  Train
1026   2   0  Trainor, Meghan
1027   3   0  Trans-Siberian Orchestra
1028   2   0  Traveling Wilburys, The
1029   1   0  Travis
1030   1   1  Triumph
1031   0   1  Trower, Robin
1032   1   0  Tunstall, KT
1033   1   0  Turner, Big Joe
1034   3   0  Turner, Tina
1035   1   0  Turtles, the
1036   1   0  Twenty One Pilots
1037   0   1  Twista
1038   1   0  Twisted Sister
1039   1   0  Tyminski, Dan
1040   1   0  Type O Negative
1041   0   4  Tyrese
1042  20   6  U2
1043   1   0  Uncle Tupelo
1044   0   1  Urban Dance Squad
1045   1   0  Urban, Keith
1046   1   0  Uriah Heep
1047   6   1  Usher
1048   1   0  Vai, Steve
1049   1   0  Valens, Ritchie
1050   4   0  Valli, Frankie & the 4 Seasons
1051   2   0  Vampire Weekend
1052  10   3  Van Halen
1053   2   0  Van Zant
1054 141  51  Various Artists
1055   4   4  Vaughan, Stevie Ray & Double Trouble
1056   2   0  Vega, Suzanne
1057   1   0  Velvet Revolver
1058   3   0  Velvet Underground, the
1059   1   1  Vertical Horizon
1060   1   0  Veruca Salt
1061   1   0  Very Best, The
1062   2   0  Vile, Kurt
1063   1   1  Village People, the
1064   2   0  Vincent, Rhonda
1065   2   0  Vinton, Bobby
1066   2   1  Violent Femmes
1067   5   0  Wainwright, Rufus
1068   2   0  Waits, Tom
1069   1   0  Walela
1070   1   0  Wallflowers, the
1071   4   0  Walsh, Joe
1072   2   0  War
1073   1   0  Warrant
1074   3   0  Warwick, Dionne
1075   1   0  Washburn, Abigail
1076   3   0  WASP
1077   1   0  Waters, Muddy
1078   3   0  Waters, Roger
1079   5   0  Weather Report
1080   4   0  Weavers, the
1081   4   0  Webber, Andrew Lloyd
1082   7   0  Weezer
1083   0   1  Wells, Junior
1084   3   0  West, Kanye
1085   3   0  White Stripes, The
1086   0   1  White Zombie
1087   2   1  White, Barry
1088   1   0  White, Jack
1089   5   1  Whitesnake
1090  17  13  Who, the
1091   1   0  Wicks, Chuck
1092   1   1  Widespread Panic
1093   3   1  Wilco
1094   2   0  Williams, Hank
1095   1   0  Wilson, Cassandra
1096   1   1  Wilson, Gretchen
1097   1   0  Wilson, Jackie
1098   1   2  Winston, George
1099   2   0  Winter, Johnny
1100   1   0  Winter, Paul
1101   3   0  Wishbone Ash
1102   8   6  Wonder, Stevie
1103   1   0  Wright, Gary
1104   0   3  Wu-Tang Clan
1105   1   0  Wyatt, Robert
1106   3   1  XTC
1107  33  13  Xmas Various artists
1108   1   0  Yamin, Elliott
1109   1   0  Yankovic, Weird Al
1110   1   2  Yanni
1111   3   0  Yardbirds, the
1112   1   0  Yaz
1113  13   0  Yes
1114   1   0  Ying Yang Twins
1115   2   0  Yo La Tengo
1116   9   0  Young, Neil
1117   2   0  Youngblood, Mary
1118   2   0  Zac Brown Band
1119   2   0  Zappa, Dweezil
1120  11   0  Zappa, Frank
1121   7   0  Zevon, Warren
1122   6   0  Zombie, Rob
1123   1   0  Zombies, the
1124   1   0  Zwan
1125   9   0  ZZ Top
1126   0   1  ZZZ Unsorted
Number Lo-Res albums:  896
Number Hi-Res albums: 3198
Total Number  albums: 4094
